http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Access To Services,Education Skills And Training,Employment,Health,Housing,Income,SIMD
http://statistics.gov.scot/id/statistical-geography/S01002658,Abbey Parks & Brucefield North West,5232,5466,3370,2849,3038,3778,4145
http://statistics.gov.scot/id/statistical-geography/S01002649,Abbeyview Central,2424,1248,1842,2611,1597,1014,1448
http://statistics.gov.scot/id/statistical-geography/S01002656,Abbeyview East,1538,669,870,967,632,882,692
http://statistics.gov.scot/id/statistical-geography/S01002633,Abbeyview Linburn,1361,2815,3555,4254,3296,4872,3864
http://statistics.gov.scot/id/statistical-geography/S01002655,Abbeyview North,1927,417,649,1611,1193,643,617
http://statistics.gov.scot/id/statistical-geography/S01002645,Abbeyview South East,2009,1316,1573,2077,836,2521,1696
http://statistics.gov.scot/id/statistical-geography/S01002651,Abbeyview West,4120,1651,2102,3386,2389,1891,2221
http://statistics.gov.scot/id/statistical-geography/S01002614,Aberdour,4591,5567,5349,5309,5500,5262,6032
http://statistics.gov.scot/id/statistical-geography/S01006163,Aberfoyle & Kinlochard,129,5024,5045,4381,3886,5120,4002
http://statistics.gov.scot/id/statistical-geography/S01002856,Aberhill,5527,1264,460,1766,2228,1049,953
http://statistics.gov.scot/id/statistical-geography/S01004234,"Aberlour Gardens, Bridgehaugh, Bridgend, Ballochford and Cabrach",309,4773,5687,5395,4016,4867,4493
http://statistics.gov.scot/id/statistical-geography/S01002597,Admiralty Central,5660,1140,3187,2373,3855,3168,2932
http://statistics.gov.scot/id/statistical-geography/S01002601,Admiralty North,4894,2919,3028,2421,2867,3358,3349
http://statistics.gov.scot/id/statistical-geography/S01002599,Admiralty North East,4666,2056,3692,2933,3835,4009,3762
http://statistics.gov.scot/id/statistical-geography/S01002591,Admiralty South,3867,1300,2217,1979,4195,3600,2572
http://statistics.gov.scot/id/statistical-geography/S01002593,Admiralty South East,4125,893,2730,3580,2864,3026,2664
http://statistics.gov.scot/id/statistical-geography/S01002592,Admiralty South West,3810,2340,2993,2685,4095,3730,3371
http://statistics.gov.scot/id/statistical-geography/S01002937,Anstruther,5931,4776,4033,5631,3329,3731,4866
http://statistics.gov.scot/id/statistical-geography/S01002940,Anstruther East & Cellardyke,3121,4127,2301,3909,3810,3081,3287
http://statistics.gov.scot/id/statistical-geography/S01002933,Anstruther South West,5676,3393,4298,4336,3061,3769,4489
http://statistics.gov.scot/id/statistical-geography/S01002938,Anstruther West,5630,3228,2615,2818,2333,1839,2675
http://statistics.gov.scot/id/statistical-geography/S01006153,Arnprior & Ruskie,391,5905,6313,5093,3472,5617,5047
http://statistics.gov.scot/id/statistical-geography/S01004245,"Auchinroath, Newlands, Orton and Nether Ringorm",488,4423,3967,3781,3478,3913,3572
http://statistics.gov.scot/id/statistical-geography/S01002868,Auchmuty East,4361,1219,886,1209,2997,910,1038
http://statistics.gov.scot/id/statistical-geography/S01002876,Auchmuty North West,4684,909,1656,2054,3017,981,1409
http://statistics.gov.scot/id/statistical-geography/S01002866,Auchmuty West,3829,870,1216,1483,2207,924,1112
http://statistics.gov.scot/id/statistical-geography/S01002812,Auchterderran Landward,2720,3374,2173,3323,4100,4356,3385
http://statistics.gov.scot/id/statistical-geography/S01002961,Auchtermuchty East,6360,4443,4803,3974,5383,3229,4746
http://statistics.gov.scot/id/statistical-geography/S01002963,Auchtermuchty West,4946,2668,3198,2347,4036,2978,3277
http://statistics.gov.scot/id/statistical-geography/S01002695,Auchtertool,529,4738,4238,4914,4551,3360,3749
http://statistics.gov.scot/id/statistical-geography/S01002925,Balbirnie,1124,3323,3355,3741,3498,2280,2870
http://statistics.gov.scot/id/statistical-geography/S01002679,Baldridgeburn North,4232,2602,1458,1763,2545,1935,1915
http://statistics.gov.scot/id/statistical-geography/S01002673,Baldridgeburn South,2828,3422,2416,1139,4622,3394,2705
http://statistics.gov.scot/id/statistical-geography/S01002927,Balfarg,1539,2912,1185,2397,3909,1239,1528
http://statistics.gov.scot/id/statistical-geography/S01006080,Balfron Central,6130,4864,4243,4309,5076,4481,5167
http://statistics.gov.scot/id/statistical-geography/S01006072,Balfron South & Ballikinrain,424,5710,5864,4772,5641,5691,5032
http://statistics.gov.scot/id/statistical-geography/S01006091,"Balfron West, North & Station",688,6397,5917,6037,6031,5699,5579
http://statistics.gov.scot/id/statistical-geography/S01002932,Balgeddie North,747,4343,5999,5585,6006,6033,5341
http://statistics.gov.scot/id/statistical-geography/S01002820,Ballingry Central,5345,303,969,2350,2206,423,728
http://statistics.gov.scot/id/statistical-geography/S01002822,Ballingry East,5024,337,752,1787,2486,791,803
http://statistics.gov.scot/id/statistical-geography/S01002817,Ballingry South,4708,655,657,1795,2503,1045,948
http://statistics.gov.scot/id/statistical-geography/S01002819,Ballingry West,4721,318,408,1422,2981,306,468
http://statistics.gov.scot/id/statistical-geography/S01003010,Balmullo North,928,5807,6260,5319,5280,5683,5599
http://statistics.gov.scot/id/statistical-geography/S01003006,Balmullo South,1298,4859,5729,5085,5225,5060,5217
http://statistics.gov.scot/id/statistical-geography/S01004256,"Balnageith, Whiterow and Knockomie",1258,3216,3816,5515,3148,3612,3779
http://statistics.gov.scot/id/statistical-geography/S01006088,Bannockburn East,2153,4285,4634,5322,4885,5210,5091
http://statistics.gov.scot/id/statistical-geography/S01006089,Bannockburn North-west,4497,3492,2714,2551,3918,3155,3310
http://statistics.gov.scot/id/statistical-geography/S01006085,Bannockburn South,3747,3187,4111,3336,5707,3832,4188
http://statistics.gov.scot/id/statistical-geography/S01006087,Bannockburn West,4305,2311,2992,2085,5032,3438,3205
http://statistics.gov.scot/id/statistical-geography/S01006167,"Barbush, Ashfield, Kinbuck",485,5793,5439,4988,5255,5525,4963
